box-body href,direct-chat-msg,direct-chat-msg (2)
https://emusykil.muftiselangor.gov.my/index.php/site/jawapan?id=671,"  Soalan

Soalan: Apakah hukum insurans yang diberikan oleh syarikat bas terhadap penumpang dan pemandu bas sekiranya berlaku kemalangan dan sebagainya? Adakah membeli tiket bas untuk perjalanan adalah haram kerana terdapat unsur-unsur membayar insurans tersebut?","Jawapan  

Merujuk kepada persoalan tuan, insurans dan tiket bas yang dibeli adalah dua perkara yang berbeza. Insurans adalah tanggungjawab yang perlu disediakan oleh pemilik konsesi syarikat bas tersebut. Jika insurans ini tidak dilaksanakan oleh konsesi syarikat bas, ia adalah menyalahi undang-undang negara sedia ada berkaitan kebajikan penumpang. Malah menjadi tanggungjawab syarikat untuk mencarum dalam insurans yang patuh syariah. Jika syarikat tidak pilih takaful, maka dosanya tidak ditanggung oleh pembeli tiket bas. Tujuan kita mendapatkan perkhidmatan bas bukan untuk mengambil manfaat dari caruman tersebut tetapi manfaat dari perkhidmatan yang diberikan oleh syarikat konsesi. Maka caruman insurans ini bukan pilihan kita sebagai penumpang. Oleh itu, manfaat menaiki bas tersebut adalah harus untuk diterima. والله أعلم بالصواب Sekian, terima kasih."
https://emusykil.muftiselangor.gov.my/index.php/site/jawapan?id=689,"  Soalan

Soalan: Bekerja disyarikat 7eleven di department real estate dan construction. Tugasan saya mencari kedai baru dan menyiapkan proposal termasuk mempersetujui hasil jualan rokok dan alkohol. Adakah perkerjaan saya halal atau saya kena cari kerja lain? Adakah hasil pendapatan gaji saya datang daripada rokok dan arak?","Jawapan  

Merujuk kepada persoalan tuan, tugas tuan mencari kedai baru adalah harus kerana tuan tidak terlibat secara langsung dalam penjualan rokok dan alkohol. والله أعلم بالصواب Sekian, terima kasih."
https://emusykil.muftiselangor.gov.my/index.php/site/jawapan?id=690,"  Soalan

Soalan: Assalam. saya membawa wang syarikat sebanyak 10 ribu dengan kereta. Dipertengahan jalan saya telah dirompak. Saya telah membuat laporan polis. Soalan saya dari segi agama islam, perlukah saya mengganti balik wang itu kepada syarikat? Assalamualaikum","Jawapan  

Merujuk kepada persoalan tuan, rompakan itu adalah suatu yang tidak diingini dan ia berlaku diluar kawalan. Sekiranya menaiki kenderaan sendiri dengan mendapat kebenaran berdasarkan syarat-syarat tertentu maka tidak perlu untuk mengganti semula wang tersebut jika semua prosedur dan garis panduan syarikat telah dipatuhi. Tetapi jika tanpa kebenaran dan syarikat telah menyediakan kenderaan khas serta pengiring, maka perlu ganti wang tersebut kerana dikira telah cuai. Serahkan perkara tersebut kepada pihak polis untuk membuat siasatan. Sebarang tindakan lanjut oleh pihak syarikat juga akan bergantung kepada hasil siasatan polis. والله أعلم بالصواب Sekian, terima kasih."
https://emusykil.muftiselangor.gov.my/index.php/site/jawapan?id=693,"  Soalan

Soalan: Assalamualaikum, Saya ada persoalan berkenaan menjual tanah kepada orang bukan Islam bagi tujuan membuat tanah perkuburan mereka. Adakah dibenarkan dalam Islam? Sekian terima kasih","Jawapan  

Merujuk kepada persoalan tuan, urusniaga tersebut adalah harus. Perkara ini termasuk dalam bab berbuat baik kepada mereka yang tidak dilarang syarak kerana urusniaga tersebut tidak mempunyai unsur-unsur membantu atau mendukung kekufuran dan kemaksiatan serta menyebabkan penghinaan terhadap Islam dan umat Islam. Sebagaimana hadith yang diriwayatkan daripada Abdullah bin Masúd yang bermaksud: “Rasulullah SAW memberikan tanah Khaibar kepada Yahudi untuk mengusahakannya dan bercucuk tanam padanya, mereka mendapat setengah apa yang terhasilnya”. (Riwayat al-Bukhari) Pun begitu, hendaklah melihat keutamaan dalam penjualan tanah tersebut. Jika keutamaannya menjurus kepada keperluan orang Islam, maka ia perlu diutamakan terlebih dahulu. والله أعلم بالصواب Sekian, terima kasih."
https://emusykil.muftiselangor.gov.my/index.php/site/jawapan?id=701,"  Soalan

Soalan: Adik ipar saya ada gadaikan barang kemas kepada pajak gadai dengan faedah dikenakan sebanyak 2% sebulan. Bolehkah saya menebus barang kemas tersebut dan menyimpannya? Bila adik ipar saya membayar balik kepada saya, saya akan kembalikan kepadanya barang kemas tersebut tanpa mengambil sebarang keuntungan. Minta nasihat dari segi hukum. Tq.","Jawapan  

Merujuk kepada persoalan puan, hukumnya adalah harus. Alternatif tersebut dilakukan bagi membantu adik ipar yang menggadaikan barangannya di pajak gadai agar tidak terbeban menanggung upah simpan sebanyak 2% yang dikenakannya itu. Namun, perlu memaklumkan kepada adik ipar dan mendapat kebenarannya. Apabila beliau membayarnya dengan puan sedikit demi sedikit sehingga selesai, puan dikira membantunya tanpa mengenakan bayaran upah simpanan. Maknanya, adik ipar tersebut tidak lagi berhutang dengan pajak gadai, beliau berhutang dengan puan dan barang kemasnya pula dapat diselamatkan daripada tergadai jika tidak mampu membayarnya di premis pajak gadai tersebut. والله أعلم بالصواب Sekian, terima kasih."
https://emusykil.muftiselangor.gov.my/index.php/site/jawapan?id=703,"  Soalan

Soalan: Saya ingin membuat pertanyaan. Adakah wajib individu A untuk membayar hutang kereta yg telah ditarik 20 tahun yang lalu, sedangkan kereta itu bukan milik A tetapi hanya menggunakan namanya. Saya musykil adakah berdosa jika hutang itu tidak bayar atas alasan bukan milik A tetapi atas nama sahaja. Individu B yg menggunakan nama A untuk membuat pinjaman. terima kasih","Jawapan  

Merujuk kepada persoalan puan, dalam perkara ini individu A perlu merujuk kembali kepada perjanjian dan syarat semasa pembelian kereta tersebut dibuat. Hakikatnya, individu A sebagai penama dan pemilik kereta tersebut, walaupun kereta digunakan oleh orang lain (individu). Pihak bank tidak berurusan dengan orang yang menggunakan kereta tersebut. Sebaliknya, akan menghubungi individu A sekiranya kereta tersebut tidak dibayar dan kesannnya nama individu A akan disenaraikan sebagai penghutang kepada pihak bank. Jika individu A meninggal dunia, ia juga dikira sebagai hutang ke atas individu A. Adapun, jika individu B sudah berjanji yang beliau akan membayarnya kepada individu A setiap bulan, sebaiknya perjanjian tersebut direkodkan/ didokumenkan dan ditandatangani sebagai suatu perjanjian yang mutlak. Individu A boleh membuat tuntutan ke atas individu B sekiranya beliau memungkiri janjinya. Jika individu A meninggal dunia, warisnya juga boleh menuntut wang pembayaran tersebut sebagaimana yang telah direkod diantara individu A dan B. Firman Allah SWT yang bermaksud : “Wahai orang-orang yang beriman! Apabila kamu menjalankan sesuatu urusan dengan hutang piutang yang diberi tempoh hingga ke suatu masa yang tertentu maka hendaklah kamu menulis (hutang dan masa bayarannya) itu dan hendaklah seorang penulis di antara kamu menulisnya dengan adil (benar) dan janganlah seseorang penulis enggan menulis sebagaimana Allah telah mengajarkannya. ” (al-Baqarah : 282) والله أعلم بالصواب Sekian, terima kasih."
https://emusykil.muftiselangor.gov.my/index.php/site/jawapan?id=710,"  Soalan

Soalan: Assalamualaikum, 1) Ketika membeli rumah, kebiasaannya orang akan memohon jumlah pinjaman yang lebih dari bank dengan tujuan untuk digunakan sebagai pengubahsuaian rumah. (pinjaman melebihi dari harga rumah). Apakah hukumnya ?","Jawapan  

Merujuk kepada persoalan puan, tiada halangan bagi seseorang itu untuk membuat pembiayaan melebihi harga rumah sekiranya dia mampu membuat bayaran balik sebagaimana yang ditetapkan. Pastikan pembiayaan tersebut adalah yang patuh syariah, dan tiada riba’. Sebagaimana firman Allah SWT : وأحل الله البيع وحرم الربا Maksudnya : “Allah telah menghalalkan berjual-beli (berniaga) dan mengharamkan riba” (al-Baqarah : 275) والله أعلم بالصواب Sekian, terima kasih."
https://emusykil.muftiselangor.gov.my/index.php/site/jawapan?id=718,"  Soalan

Soalan: Dalam urusan jual beli tanah, pembeli dikenakan bayaran pampasan jika lewat bayar dari tarikh yang ditetapkan mengikut bilangan hari. Kadar dikenakan selalunya peratusan dan jumlah harga jualan. Soalan: Adakah bayaran itu dikira riba atau diharuskan?","Jawapan  

Merujuk kepada persoalan tuan, bayaran pampasan lewat bayar dalam urusan jual beli tanah telah termaktub seksyen 293(2) dan (3) Kanun Tanah Negara 1965 dan Kaedah Tanah Selangor bilangan 21 Tahun 2003. Oleh itu ia telah ditetapkan dan sebagai pembeli tidak dapat untuk mengelak bayaran ini sekiranya lewat membayar. Secara umumnya, Islam menggariskan panduan dalam kenaan pampasan lewat bayar yang mana ia bertujuan untuk menyekat kecuaian sengaja pembeli yang sengaja melewat-lewatkan membayar dan ianya tidak melebihi 1%. Kesimpulannya, pampasan yang telah ditetapkan oleh Kanun Tanah Negara dan Kaedah Tanah Selangor telah ditetapkan nilainya mengikut harga pasaran tanah (jualan) dan ianya bersifat mencegah kecuaian sengaja oleh pembeli. Seterusnya urusan jual beli tanah dapat dijalankan dalam tempoh yang ditetapkan dan ia bukan riba’ dan diharuskan dalam jual beli ini. والله أعلم بالصواب Sekian, terima kasih."
https://emusykil.muftiselangor.gov.my/index.php/site/jawapan?id=721,"  Soalan

Soalan: Assalamualaikum, Sya ingin bertanya berkenaaan Pelaburan ASB dan ASN. Ada yang menyatakan hukum harus atau haram. saya ragu-ragu dalam pelaburan ini. Harap dapat penjelasan dari pihak mufti. Untuk pengetahuan pihak tuan, saya telah membuat pelaburan ini dan telah mendapat dividennya. Bagaimana dengan zakat yang perlu di keluarkan? Apakah saya harus teruskan pelaburan ini atau sebaliknya mengikut hukum yang sebenarnya yang disyariatkan dan diredhai Allah.","Jawapan  

Merujuk kepada persoalan puan, Mesyuarat Jawatankuasa Fatwa Negeri Selangor Kali Ke-3/2017 yang bersidang pada 27 April 2017 bersamaan 30 Rajab 1438H memutuskan bahawa: i. Hukum pelaburan Permodalan Nasional Berhad (PNB) dalam Amanah Saham Nasional Berhad (ASNB) adalah harus kerana peratusan pelaburan saham syarikat patuh syarak telah melepasi 66% mengikut piawaian Suruhanjaya Sekuriti. Pengharusan ini ertinya, الحكم يدور مع علته وجودا وعدماiaitu fiqhiyyah kaedah berdasarkan “Hukum Berubah Menurut Perubahan ‘Illah (sebab)”; ii. PNB hendaklah meneruskan usaha-usaha penambahbaikan bagi memastikan pelaburan tersebut menepati syarak sepenuhnya; dan iii. Keharusan hukum pelaburan ini akan dikaji semula selepas 3 tahun dan sekurang-kurangnya peratusan pelaburan patuh syarak melebihi 75%. Walau apapun pandangan daripada individu tertentu berkenaan fatwa tersebut, puan dinasihatkan untuk merujuk kepada fatwa yang telah diputuskan oleh Jawatankuasa Fatwa sebagai pihak berautoriti dalam mengeluarkan hukum syarak. Persoalan tersebut tidak timbul dengan adanya keharusan dalam pelaburan tersebut. Justeru, terpulang kepada pihak puan untuk membuat pilihan sama ada meneruskan pelaburan (merujuk kepada fatwa) atau sebaliknya (mengikut niat) termasuk mengagihkan dividen kepada yang memerlukan. Pengiraan zakat ke atas pelaburan ASB hendaklah mengikut kaedah yang terkini, sesuai dengan keputusan fatwa yang dikeluarkan oleh Jawatankuasa Fatwa Negeri Selangor 2017. Oleh itu, sila ambil pokok pelaburan di akhir tahun dan dicampurkan dengan pendapatan pelaburan (dividen dan bonus) semasa *66% (rujuk jumlah peratusan terkini). Walau bagaimanapun, bagi bayaran zakat ASB tahun 2016 dan sebelumnya, maka fatwa terdahulu digunakan, iaitu hendaklah ditolak semua pendapatan pelaburan (dividen dan bonus) ASB berkenaan, dan zakat hanya dikenakan ke atas pokok pelaburannya sahaja. Rujukan : https://www.zakatselangor.com.my/keputusan-syariah-zakat/pengiraan-zakat-asb/ والله أعلم بالصواب Sekian, terima kasih."
https://emusykil.muftiselangor.gov.my/index.php/site/jawapan?id=722,"  Soalan

Soalan: Assalamualaikum. Saya ada kemusykilan tentang nafkah tempat tinggal. Saya bekerja di JB dan suami pula di Muar. Saya cuba untuk bekerja di Muar tetapi gaji yang ditawarkan sangat rendah berbanding di JB dan saya perlu kerja untuk menampung ibu saya dan membayar hutang belajar saya. Saya bekerja di JB dan tinggal bersama ibu di rumah pusaka. Suami bekerja di Muar berpendapatan kecil , tinggal di rumah pusaka. Persoalan saya, adakah menjadi kewajiban bagi suami untuk menyediakan tempat tinggal untuk saya yang di JB? Sedangkan saya sudah menumpang rumah ibu dan suami ada menyediakan rumah di Muar. Ibu saya menyindir suami saya seolah-olah tidak menjalankan tanggungjawab menyediakan tempat tinggal.","Jawapan  

Merujuk kepada persoalan puan, tuntutan nafkah bagi suami untuk menyediakan tempat tinggal telah terlaksana dengan menyediakan rumah di Muar. Nafkah itu wajib diberi oleh suami mengikut kemampuannya. Firman Allah SWT yang bermaksud : “Hendaklah orang yang mampu memberi nafkah menurut kemampuannya; dan sesiapa yang di sempitkan rezekinya, maka hendaklah ia memberi nafkah dari apa yang diberikan Allah kepadanya (sekadar yang mampu); Allah tidak memberati seseorang melainkan (sekadar kemampuan) yang diberikan Allah kepadanya. (Orang-orang yang dalam kesempitan hendaklah ingat bahawa) Allah akan memberikan kesenangan sesudah berlakunya kesusahan.” (at-Talaq : 7) Apapun, tidak harus jika suami diminta pula untuk menyediakan rumah di Johor Bharu jika suami tidak berkemampuan atau suami tidak berkehendakan. Sebagai seorang ibu, tidak sepatutnya menyindir menantu yang boleh mendorong kepada ketidakharmonian rumahtangga mereka. Hadith yang diriwayatkan daripada Abu Hurairah RA berkata, Rasulullah SAW bersabda yang bermaksud: “Bukan dikalangan kami (umat Nabi Muhammad SAW) orang yang merosakkan hubungan seorang isteri dengan suaminya” (Riwayat Abu Daud) والله أعلم بالصواب Sekian, terima kasih."
